Ticker,Date,Close
SPCE,2/28/2023,5.74
SPCE,3/1/2023,4.73
SPCE,3/2/2023,5.14
SPCE,3/3/2023,5.5
SPCE,3/6/2023,5.41
SPCE,3/7/2023,5.31
SPCE,3/8/2023,5.41
SPCE,3/9/2023,5.1
SPCE,3/10/2023,4.98
SPCE,3/13/2023,5.08
SPCE,3/14/2023,5
SPCE,3/15/2023,4.63
SPCE,3/16/2023,4.59
SPCE,3/17/2023,4.16
SPCE,3/20/2023,4.1
SPCE,3/21/2023,4.12
SPCE,3/22/2023,3.91
SPCE,3/23/2023,4.03
SPCE,3/24/2023,4.1
SPCE,3/27/2023,4.06
SPCE,3/28/2023,3.9
SPCE,3/29/2023,4.04
SPCE,3/30/2023,4.06
SPCE,3/31/2023,4.05
SPCE,4/3/2023,3.88
SPCE,4/4/2023,3.43
SPCE,4/5/2023,3.19
SPCE,4/6/2023,3.15
SPCE,4/10/2023,3.46
SPCE,4/11/2023,3.58
SPCE,4/12/2023,3.27
SPCE,4/13/2023,3.45
SPCE,4/14/2023,3.33
SPCE,4/17/2023,3.47
SPCE,4/18/2023,3.53
SPCE,4/19/2023,3.61
SPCE,4/20/2023,3.58
SPCE,4/21/2023,3.51
SPCE,4/24/2023,3.44
SPCE,4/25/2023,3.16
SPCE,4/26/2023,3.19
SPCE,4/27/2023,3.51
SPCE,4/28/2023,3.64
SPCE,5/1/2023,3.57
SPCE,5/2/2023,3.44
SPCE,5/3/2023,3.43
SPCE,5/4/2023,3.46
SPCE,5/5/2023,3.61
SPCE,5/8/2023,4.08
SPCE,5/9/2023,4.09
SPCE,5/10/2023,4.17
SPCE,5/11/2023,4.06
SPCE,5/12/2023,4.01
SPCE,5/15/2023,4
SPCE,5/16/2023,4.21
SPCE,5/17/2023,4.5
SPCE,5/18/2023,4.49
SPCE,5/19/2023,4.36
SPCE,5/22/2023,4.91
SPCE,5/23/2023,4.93
SPCE,5/24/2023,4.41
SPCE,5/25/2023,4.05
SPCE,5/26/2023,3.38
SPCE,5/30/2023,3.49
SPCE,5/31/2023,3.46
SPCE,6/1/2023,3.75
SPCE,6/2/2023,3.82
SPCE,6/5/2023,3.8
SPCE,6/6/2023,3.99
SPCE,6/7/2023,4.16
SPCE,6/8/2023,4.11
SPCE,6/9/2023,4.03
SPCE,6/12/2023,4.19
SPCE,6/13/2023,4.23
SPCE,6/14/2023,4.4
SPCE,6/15/2023,4.06
SPCE,6/16/2023,4.73
SPCE,6/20/2023,6.01
SPCE,6/21/2023,5.71
SPCE,6/22/2023,5.32
SPCE,6/23/2023,4.34
SPCE,6/26/2023,4.14
SPCE,6/27/2023,4.34
SPCE,6/28/2023,4.74
SPCE,6/29/2023,4.23
SPCE,6/30/2023,3.88
SPCE,7/3/2023,3.77
SPCE,7/5/2023,3.91
